X,Y,Concentrations,Migration_front,Vx,Vy
25.0,205.0,1.5206494424854425e-95,0.0,-0.011797828948415592,0.023147904777715646
25.0,215.0,4.751538185933814e-90,0.0,-0.011972926877923451,0.023660865150890904
25.0,225.0,5.49219389632764e-85,0.0,-0.012101210753094728,0.02418990162216863
25.0,235.0,6.307098994423707e-81,0.0,-0.012179508179696279,0.02472885060487726
25.0,245.0,1.0808936107340671e-78,0.0,-0.012205832801928579,0.025271149395122736
25.0,255.0,4.329310859629296e-79,0.0,-0.012179508179696279,0.025810098377831367
25.0,265.0,3.267439883252163e-81,0.0,-0.012101210753094728,0.026339134849109092
25.0,275.0,2.371374837925431e-85,0.0,-0.011972926877923451,0.02685209522228435
25.0,285.0,2.8439184926432618e-89,0.0,-0.011797828948415592,0.027343444048769636
25.0,295.0,4.676221311805013e-93,0.0,-0.011580084732466338,0.027808452919003482
25.0,305.0,7.199584229608137e-97,0.0,-0.011324620627493587,0.02824331894799872
25.0,315.0,9.53600925849791e-101,0.0,-0.011036862643213425,0.02864521989860786
25.0,325.0,1.093064746558173e-104,0.0,-0.010722478398186552,0.029012309771511972
25.0,335.0,1.1025070578695985e-108,0.0,-0.01038713989606453,0.02934366391955389
25.0,345.0,9.931922447507092e-113,0.0,-0.010036321418688772,0.029639185919181667
25.0,355.0,8.088032451578807e-117,0.0,-0.009675140763236749,0.029899489523550035
25.0,365.0,6.01226951023841e-121,0.0,-0.009308246321321845,0.03012576836632771
25.0,375.0,4.1121156796349376e-125,0.0,-0.008939747868535922,0.030319664218448186
25.0,385.0,0.0,0.0,-0.008573185735524088,0.03048314209681209
35.0,5.0,0.0,0.0,4.5924254968025736e-18,0.0187895694757875
35.0,15.0,0.0,0.0,-0.0056689713483044765,0.01876502106005732
35.0,25.0,0.0,0.0,-0.005951071308265639,0.018751830316769406
35.0,35.0,0.0,0.0,-0.006248169683230616,0.01875183031676938
35.0,45.0,0.0,0.0,-0.006560451163304763,0.018767045464374882
35.0,55.0,0.0,0.0,-0.006887906907623869,0.018799691133060327
35.0,65.0,0.0,0.0,-0.007230281505024631,0.018852165513901654
35.0,75.0,0.0,0.0,-0.007587012429531957,0.018927031096989712
35.0,85.0,0.0,0.0,-0.007957162723486939,0.019026982875554883
35.0,95.0,0.0,0.0,-0.008339348573562185,0.019154800180175558
35.0,105.0,0.0,0.0,-0.008731664685932767,0.019313279130584265
35.0,115.0,0.0,0.0,-0.009131611915257664,0.019505143177306006
35.0,125.0,0.0,0.0,-0.009536033395928657,0.01973293025191286
35.0,135.0,0.0,0.0,-0.009941067310059925,0.01999885679873604
35.0,145.0,2.9403121439322096e-133,0.0,-0.01034212613211264,0.020304661512159823
35.0,155.0,2.5464121080576722e-124,0.0,-0.010733913308599954,0.020651434924695337
35.0,165.0,1.79903028781559e-116,0.0,-0.011110488341449795,0.021039444867958505
35.0,175.0,2.7586210261062346e-109,0.0,-0.01146538957861428,0.02146797180335942
35.0,185.0,1.375070226660317e-102,0.0,-0.011791820198587476,0.02193517137445328
35.0,195.0,2.5758634294880603e-96,0.0,-0.012082896713721676,0.02243798335570861
35.0,205.0,1.9390363111257137e-90,0.0,-0.012331951115083922,0.02297210552237695
35.0,215.0,5.813212372096918e-85,0.0,-0.012532868496503443,0.02353204714095696
35.0,225.0,6.578496557072373e-80,0.0,-0.012680433234808755,0.024111269622670975
35.0,235.0,6.35755243835342e-76,0.0,-0.012770650580400906,0.024702412023375604
35.0,245.0,1.0802975683027286e-73,0.0,-0.012801008755177385,0.025297587976624392
35.0,255.0,4.3133365325137445e-74,0.0,-0.012770650580400906,0.02588873037732902
35.0,265.0,3.15185754793045e-76,0.0,-0.012680433234808755,0.026467952859043038
35.0,275.0,2.3195449286140696e-80,0.0,-0.012532868496503443,0.027027894477623046
35.0,285.0,2.9309924899024987e-84,0.0,-0.012331951115083922,0.027562016644291386
35.0,295.0,4.975726696224319e-88,0.0,-0.012082896713721676,0.028064828625546715
35.0,305.0,7.782557521481452e-92,0.0,-0.011791820198587476,0.028532028196640576
35.0,315.0,1.0439585048409745e-95,0.0,-0.01146538957861428,0.02896055513204149
35.0,325.0,1.2126304884153968e-99,0.0,-0.011110488341449795,0.02934856507530466
35.0,335.0,1.2413556060209133e-103,0.0,-0.010733913308599954,0.029695338487840173
35.0,345.0,1.1369737550015064e-107,0.0,-0.01034212613211264,0.030001143201263954
35.0,355.0,9.430710025565748e-112,0.0,-0.009941067310059925,0.030267069748087135
35.0,365.0,7.152813482626179e-116,0.0,-0.009536033395928657,0.03049485682269399
35.0,375.0,4.999641154070461e-120,0.0,-0.009131611915257664,0.03068672086941573
35.0,385.0,0.0,0.0,-0.008731664685932767,0.030845199819824438
45.0,5.0,0.0,0.0,4.5924254968025736e-18,0.018522209809835932
45.0,15.0,0.0,0.0,-0.005629739157865677,0.018482977619397104
45.0,25.0,0.0,0.0,-0.005922857673169212,0.018454763984300706
45.0,35.0,0.0,0.0,-0.006232954535625111,0.01843954883669523
45.0,45.0,0.0,0.0,-0.0065604511633047926,0.0184395488366952
45.0,55.0,0.0,0.0,-0.006905582730136987,0.01845722465920832
45.0,65.0,0.0,0.0,-0.007268337301495194,0.018495280455678883
45.0,75.0,0.0,0.0,-0.0076483842360948115,0.01855665226224177
45.0,85.0,0.0,0.0,-0.00804499197894541,0.01864448151770024
45.0,95.0,0.0,0.0,-0.008456936414068313,0.018762069358206394
45.0,105.0,0.0,0.0,-0.008882402446053787,0.01891280711832739
45.0,115.0,0.0,0.0,-0.009318883489174007,0.019100078692243703
45.0,125.0,0.0,0.0,-0.009763086046542958,0.01932713134285803
45.0,135.0,0.0,0.0,-0.010210849425315817,0.019596913458113936
45.0,145.0,5.50461966331316e-128,0.0,-0.010657093545315351,0.019911880871316675
